City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
15,Kendari,ID,79.43,overcast clouds,-3.945,122.4989,Hotel Wixel
19,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
23,Pierre,US,75.99,overcast clouds,44.3683,-100.351,Ramkota Hotel
28,Samana,DO,75.56,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
29,Lazaro Cardenas,MX,78.35,few clouds,17.9583,-102.2,Hotel Quinta Antigua
33,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
34,Mareeba,AU,76.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
36,Cururupu,BR,75.65,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
39,Butaritari,KI,81.82,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
42,Surin,TH,84.58,scattered clouds,14.8818,103.4936,One Fu Hotel
44,Rikitea,PF,76.37,clear sky,-23.1203,-134.9692,Pension Maro'i
50,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Benguela,AO,75.43,clear sky,-12.5763,13.4055,Hotel Praia Morena
56,Noumea,NC,77.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
58,Buala,SB,84.52,light rain,-8.145,159.5921,Maringe Lagoon Lodge
65,Bintulu,MY,84.61,few clouds,3.1667,113.0333,900 Boutique INN
74,Tual,ID,81.05,light rain,-5.6667,132.75,Grand Vilia Hotel
75,Zaraza,VE,78.3,broken clouds,9.3503,-65.3245,Hotel Zaraza
77,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
78,San Policarpo,PH,84.34,clear sky,12.1791,125.5072,JM Lodge
79,Cabo San Lucas,MX,85.51,clear sky,22.8909,-109.9124,Tesoro Los Cabos
80,Port-Gentil,GA,77.14,moderate rain,-0.7193,8.7815,Fengshui Residence
84,Lufilufi,WS,85.78,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
85,Nicoya,CR,81.95,broken clouds,10.1483,-85.45200000000001,Guayacan Real
89,Karwar,IN,79.75,overcast clouds,14.8,74.1333,Netalco Connects
94,Sinnamary,GF,77.85,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
99,Kibala,TD,77.79,overcast clouds,9.1104,18.3463,hotel safari
101,Bull Savanna,JM,76.23,scattered clouds,17.8868,-77.5902,Big Red's
104,Kawalu,ID,81.5,few clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
108,Catuday,PH,84.79,broken clouds,16.2923,119.8062,GResort
110,Truth Or Consequences,US,80.91,scattered clouds,33.1284,-107.2528,Charles Motel
113,Kavieng,PG,85.24,broken clouds,-2.5744,150.7967,Nusa Island Retreat
114,Banda Aceh,ID,84.16,overcast clouds,5.5577,95.3222,Sulthan Hotel International
118,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Uncle Junior Robert
122,Funadhoo,MV,84.29,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
123,San Patricio,US,83.08,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
125,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
131,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
133,Kudahuvadhoo,MV,83.89,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
134,Port Blair,IN,77.04,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
137,Kirakira,SB,82.65,moderate rain,-10.4544,161.9205,SanBiz Lodge
143,Faanui,PF,81.75,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
146,Sompeta,IN,84.74,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
