City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,73.54,89,100,2.35,overcast clouds
1,Dongsheng,CN,39.8161,109.9776,69.01,34,100,15.46,overcast clouds
2,Berlevag,NO,70.8578,29.0864,35.08,72,100,26.02,light snow
3,Dikson,RU,73.5069,80.5464,28.83,85,99,4.34,overcast clouds
4,Punta Arenas,CL,-53.15,-70.9167,41.11,87,20,1.59,few clouds
5,Lodja,CD,-3.4833,23.4333,71.17,85,87,0.54,overcast clouds
6,Marzuq,YE,14.4,46.4667,76.69,39,23,3.4,few clouds
7,Moranbah,AU,-22.0016,148.0466,74.17,47,72,16.26,broken clouds
8,Sao Filipe,CV,14.8961,-24.4956,73.09,73,2,5.75,clear sky
9,Carnarvon,AU,-24.8667,113.6333,69.87,49,67,3.44,broken clouds
10,Mataura,NZ,-46.1927,168.8643,49.48,61,20,2.75,few clouds
11,Atherton,GB,53.5237,-2.4935,47.28,74,100,8.01,overcast clouds
12,San Joaquin,US,37.9333,-121.3011,74.1,26,1,10.36,clear sky
13,Cape Town,ZA,-33.9258,18.4232,52.12,63,0,3.51,clear sky
14,Mahebourg,MU,-20.4081,57.7,70.09,83,75,13.8,broken clouds
15,Kendari,ID,-3.945,122.4989,79.43,86,100,3.71,overcast clouds
16,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,44,0,15.48,clear sky
17,Nikolskoye,RU,59.7035,30.7861,48.09,88,99,9.24,overcast clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,60.1,56,90,18.01,light rain
19,Pochutla,MX,15.7432,-96.4661,85.82,69,3,2.89,clear sky
20,Nizhnevartovsk,RU,60.9344,76.5531,60.82,77,0,4.47,clear sky
21,Ust-Tsilma,RU,65.441,52.1498,62.19,76,65,9.42,broken clouds
22,Hermanus,ZA,-34.4187,19.2345,51.91,67,40,5.55,scattered clouds
23,Pierre,US,44.3683,-100.351,75.99,76,90,8.99,overcast clouds
24,Caravelas,BR,-17.7125,-39.2481,74.53,77,9,8.1,clear sky
25,Requena,ES,39.4883,-1.1004,57.79,38,100,5.03,overcast clouds
26,Ostrovnoy,RU,68.0531,39.5131,36.68,97,100,4.68,overcast clouds
27,Bluff,NZ,-46.6,168.3333,49.8,76,82,18.9,broken clouds
28,Samana,DO,19.2056,-69.3369,75.56,89,100,6.53,overcast clouds
29,Lazaro Cardenas,MX,17.9583,-102.2,78.35,58,13,4.65,few clouds
30,Bredasdorp,ZA,-34.5322,20.0403,43.92,74,22,4.79,few clouds
31,Guerrero Negro,MX,27.9769,-114.0611,61.0,67,0,21.5,clear sky
32,Wenatchee,US,47.4235,-120.3103,71.44,32,90,3.0,overcast clouds
33,Makakilo City,US,21.3469,-158.0858,82.72,51,75,10.36,broken clouds
34,Mareeba,AU,-17.0,145.4333,76.44,58,66,7.63,broken clouds
35,Busselton,AU,-33.65,115.3333,61.05,70,100,16.64,light rain
36,Cururupu,BR,-1.8283,-44.8683,75.65,94,16,3.27,few clouds
37,Puerto Ayora,EC,-0.7393,-90.3518,74.55,95,47,8.01,scattered clouds
38,Yellowknife,CA,62.456,-114.3525,56.32,35,1,3.0,clear sky
39,Butaritari,KI,3.0707,172.7902,81.82,77,100,22.12,overcast clouds
40,Hilo,US,19.7297,-155.09,74.39,94,90,3.44,moderate rain
41,Beian,NO,63.6559,9.5683,52.02,93,0,5.75,clear sky
42,Surin,TH,14.8818,103.4936,84.58,56,36,7.65,scattered clouds
43,Narsaq,GL,60.9167,-46.05,34.02,90,100,7.09,overcast clouds
44,Rikitea,PF,-23.1203,-134.9692,76.37,58,2,6.26,clear sky
45,Barrow,US,71.2906,-156.7887,30.22,93,90,24.16,overcast clouds
46,Ystad,SE,55.4297,13.8204,48.94,89,15,9.62,few clouds
47,Port Elizabeth,ZA,-33.918,25.5701,52.09,71,0,8.05,clear sky
48,Lagoa,PT,39.05,-27.9833,58.48,59,3,17.63,clear sky
49,Ponta Do Sol,PT,32.6667,-17.1,69.01,76,85,7.87,overcast clouds
50,Kapaa,US,22.0752,-159.319,82.38,82,1,3.0,clear sky
51,Santa Marinella,IT,42.0345,11.8536,62.08,83,11,16.26,few clouds
52,Hobart,AU,-42.8794,147.3294,61.27,64,20,1.99,few clouds
53,Tasiilaq,GL,65.6145,-37.6368,32.16,72,100,12.64,overcast clouds
54,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,5.75,broken clouds
55,Benguela,AO,-12.5763,13.4055,75.43,72,0,1.54,clear sky
56,Noumea,NC,-22.2763,166.4572,77.0,99,55,10.25,broken clouds
57,Victoria,HK,22.2855,114.1577,91.45,81,26,5.99,scattered clouds
58,Buala,SB,-8.145,159.5921,84.52,74,49,5.68,light rain
59,Chuy,UY,-33.6971,-53.4616,59.63,88,100,20.42,overcast clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,61,1,16.11,clear sky
61,Ahipara,NZ,-35.1667,173.1667,61.88,71,100,12.68,light rain
62,Kruisfontein,ZA,-34.0033,24.7314,47.88,73,1,8.08,clear sky
63,Novo Aripuana,BR,-5.1206,-60.3797,74.77,97,16,2.39,few clouds
64,Strezhevoy,RU,60.7333,77.5889,60.78,69,15,10.13,few clouds
65,Bintulu,MY,3.1667,113.0333,84.61,83,20,1.99,few clouds
66,Krasnoselkup,RU,65.7,82.4667,44.73,95,100,12.73,overcast clouds
67,Lebu,CL,-37.6167,-73.65,51.73,86,88,0.87,overcast clouds
68,Ushuaia,AR,-54.8,-68.3,40.66,93,75,9.22,broken clouds
69,Torrington,US,41.8007,-73.1212,70.99,72,100,2.62,overcast clouds
70,Keuruu,FI,62.2667,24.7,37.58,98,100,9.53,overcast clouds
71,Kargil,IN,34.5667,76.1,38.07,61,99,3.83,overcast clouds
72,Tiksi,RU,71.6872,128.8694,29.07,84,100,7.38,overcast clouds
73,Bambous Virieux,MU,-20.3428,57.7575,70.05,62,75,17.11,broken clouds
74,Tual,ID,-5.6667,132.75,81.05,82,71,19.64,light rain
75,Zaraza,VE,9.3503,-65.3245,78.3,75,71,5.44,broken clouds
76,Lata,PT,40.1629,-8.3327,55.06,84,100,2.24,overcast clouds
77,Avarua,CK,-21.2078,-159.775,77.05,78,90,11.5,overcast clouds
78,San Policarpo,PH,12.1791,125.5072,84.34,70,4,4.65,clear sky
79,Cabo San Lucas,MX,22.8909,-109.9124,85.51,47,1,11.5,clear sky
80,Port-Gentil,GA,-0.7193,8.7815,77.14,92,100,16.17,moderate rain
81,Khatanga,RU,71.9667,102.5,27.12,86,27,2.68,scattered clouds
82,Chokurdakh,RU,70.6333,147.9167,30.34,86,71,3.51,broken clouds
83,Bayburt,TR,40.2589,40.2278,56.98,52,99,4.41,overcast clouds
84,Lufilufi,WS,-13.8745,-171.5986,85.78,75,11,11.3,few clouds
85,Nicoya,CR,10.1483,-85.452,81.95,74,61,8.61,broken clouds
86,Qaanaaq,GL,77.484,-69.3632,21.2,74,23,8.01,few clouds
87,Miyako,JP,39.6367,141.9525,56.37,97,100,5.91,overcast clouds
88,Geraldton,AU,-28.7667,114.6,67.12,57,100,7.36,overcast clouds
89,Karwar,IN,14.8,74.1333,79.75,82,98,2.04,overcast clouds
90,Iqaluit,CA,63.7506,-68.5145,24.53,73,75,5.99,broken clouds
91,Homer,US,59.6425,-151.5483,49.89,67,75,10.36,broken clouds
92,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,94,90,4.61,overcast clouds
93,Ilulissat,GL,69.2167,-51.1,30.22,93,75,11.5,light snow
94,Sinnamary,GF,5.3833,-52.95,77.85,89,99,12.24,overcast clouds
95,Sao Pedro,BR,-22.5486,-47.9139,65.73,44,39,5.59,scattered clouds
96,Pisco,PE,-13.7,-76.2167,66.25,82,0,6.91,clear sky
97,Cidreira,BR,-30.1811,-50.2056,65.07,93,100,22.12,moderate rain
98,Chimoio,MZ,-19.1164,33.4833,56.62,93,0,1.97,clear sky
99,Kibala,TD,9.1104,18.3463,77.79,78,100,2.24,overcast clouds
100,Grand Gaube,MU,-20.0064,57.6608,70.2,61,39,20.74,scattered clouds
101,Bull Savanna,JM,17.8868,-77.5902,76.23,79,37,6.91,scattered clouds
102,Srednekolymsk,RU,67.45,153.6833,38.14,60,100,5.82,overcast clouds
103,Vysokogornyy,RU,50.1167,139.15,76.35,36,5,4.63,clear sky
104,Kawalu,ID,-7.3817,108.2082,81.5,67,22,3.51,few clouds
105,Provideniya,RU,64.3833,-173.3,41.67,66,45,12.62,scattered clouds
106,Zurrieq,MT,35.8311,14.4742,62.96,77,0,5.75,clear sky
107,Mezen,RU,65.8522,44.24,60.04,76,73,9.53,broken clouds
108,Catuday,PH,16.2923,119.8062,84.79,68,84,7.61,broken clouds
109,Amapa,BR,1.0,-52.0,72.55,99,100,2.46,overcast clouds
110,Truth Or Consequences,US,33.1284,-107.2528,80.91,28,40,8.57,scattered clouds
111,Constitucion,CL,-35.3333,-72.4167,49.82,83,13,4.88,few clouds
112,Touros,BR,-5.1989,-35.4608,74.3,81,4,11.16,clear sky
113,Kavieng,PG,-2.5744,150.7967,85.24,69,55,7.78,broken clouds
114,Banda Aceh,ID,5.5577,95.3222,84.16,72,93,11.54,overcast clouds
115,Taoudenni,ML,22.6783,-3.9836,92.01,25,100,9.01,overcast clouds
116,Nakamura,JP,32.9833,132.9333,64.42,74,100,4.56,light rain
117,Thompson,CA,55.7435,-97.8558,35.76,75,90,0.0,overcast clouds
118,Ewa Beach,US,21.3156,-158.0072,84.15,50,75,10.36,broken clouds
119,Lompoc,US,34.6391,-120.4579,60.78,79,90,13.8,overcast clouds
120,Mnogovershinnyy,RU,53.9353,139.9242,50.34,84,100,4.12,overcast clouds
121,Esperance,AU,-33.8667,121.9,62.44,42,100,14.0,overcast clouds
122,Funadhoo,MV,6.15,73.2667,84.29,76,100,18.97,overcast clouds
123,San Patricio,US,28.017,-97.5169,83.08,82,4,8.72,clear sky
124,College,US,64.8569,-147.8028,57.58,62,75,12.66,broken clouds
125,Vaini,TO,-21.2,-175.2,82.56,83,75,16.11,broken clouds
126,Dubbo,AU,-32.25,148.6167,64.53,55,0,11.5,clear sky
127,Te Anau,NZ,-45.4167,167.7167,51.75,70,11,0.98,few clouds
128,Pahrump,US,36.2083,-115.9839,64.11,23,38,1.01,scattered clouds
129,Helena,US,46.5927,-112.0361,32.18,89,90,4.0,snow
130,Muriti,TZ,-1.9833,32.9167,73.44,70,50,8.1,light rain
131,Katherine,AU,-14.4667,132.2667,82.72,36,5,13.35,clear sky
132,Nanortalik,GL,60.1432,-45.2371,30.51,97,98,3.71,overcast clouds
